1;Juan;COJIN DE 20 PLATOS;500000.00;no
2;Ana;cojin 90 platos;900000.00;si
3;Pedro;lechona 80 platos;800000.00;si
4;Laura;cojin 70 platos;700000.00;si
5;Carlos;lechona 60 platos;600000.00;si
6;Sofia;cojin 50 platos;500000.00;si
7;Diego;lechona 40 platos;400000.00;si
8;Maria;cojin 30 platos;300000.00;si
9;Andres;lechona 20 platos;200000.00;si
10;Luisa;cojin 10 platos;100000.00;si
11;LOPEZ;lechona 100 platos;1000000.00;si
13;RUBIO;LECHONA DE 300 PLATOS;3000000.00;si
14;LOPEZ;COJIN;500000.00;no
15;WERT;QWERT;50.00;no
18;CarlosF;cojin de 60;600000.00;no
19;David;Cojin de 90 platos;650000.00;no
